Recording	Participant	Czy_kolejarz	Czy_maszynista	Czy_pasjonat_kolei	Czy_używał_symulatorów_w_pracy	Płeć	Wiek	Wykształcenie	Zaawansowanie_w_grach	Zaawansowanie_w_grach_symulacyjnych	Timeline	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	35	23475	23591	117			0.54281	0.53995	3.04731
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	36	23675	23758	83			0.59789	0.59221	3.07356
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	37	23875	27089	3214			0.6906	0.69628	3.01569
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	38	27106	27222	117			0.65155	0.64798	2.95196
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	39	27805	28421	616			0.29352	0.3106	2.97063
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	40	28671	28854	183			0.29835	0.3473	2.95215
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	41	28871	29887	1016			0.29995	0.3238	3.03569
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	42	30070	30919	849			0.2958	0.32684	3.14947
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	43	30969	31203	233			0.2954	0.5009	3.15729
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	44	31253	34450	3198			0.30131	0.70342	3.14673
