Recording	Participant	Czy_kolejarz	Czy_maszynista	Czy_pasjonat_kolei	Czy_używał_symulatorów_w_pracy	Płeć	Wiek	Wykształcenie	Zaawansowanie_w_grach	Zaawansowanie_w_grach_symulacyjnych	Timeline	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	1	158	275	117			0.39068	0.48172	4.68346
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	2	525	874	350			0.5099	0.4641	4.85744
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	3	941	1207	266			0.47872	1.00221	4.90588
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Partial	4	1341	1507	167			0.46744	0.39871	4.94587
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Partial	5	1574	1740	167			0.12949	0.22559	4.89075
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	6	1857	1974	117			0.45676	0.4271	4.72643
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	7	1990	2157	167			0.48049	0.48495	4.28643
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	8	2190	2290	100			0.55312	0.55706	4.03622
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	9	2323	2423	100			0.49779	0.43048	4.05101
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	10	2440	2873	433			0.62398	0.55607	4.26165
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	11	2906	3239	333			0.49371	0.45807	4.51113
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	12	3256	3806	550			0.47371	0.60663	4.73271
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	13	3856	4055	200			0.47726	0.4511	4.91166
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	14	4089	4305	217			0.47695	0.36095	4.95027
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	15	4488	4555	67			0.45545	0.35473	4.87633
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	16	4588	4688	100			0.3753	0.30213	kwi.82
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	17	4888	5105	217			0.13622	0.08322	4.64478
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	18	5121	8036	2915			0.09521	0.0806	4.40481
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	19	8486	11800	3314			0.91388	0.01676	4.57856
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	20	11816	11900	83			0.84262	0.10058	4.90534
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	21	12349	15081	2731			0.49753	0.40773	4.48586
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	22	15231	15297	67			0.50858	0.48487	4.44675
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	23	15314	15497	183			0.50406	0.41134	4.64594
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	24	15980	16130	150			0.82186	0.71282	4.72162
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	25	16147	17529	1382			0.87826	0.78135	4.75292
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	26	17779	19194	1416			0.87768	0.79325	kwi.86
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Partial	27	19561	19927	366			0.19035	0.79254	4.56342
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	28	19944	22492	2548			0.11726	0.79163	4.68498
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Partial	29	23541	23626	85			0.10758	0.87699	4.80634
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Partial	30	23690	24158	468			0.11322	0.8527	4.78489
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	31	24574	26289	1715			0.29246	0.32566	4.30836
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	32	26473	27755	1282			0.28978	0.32284	4.23352
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	33	27772	27888	117			0.35954	0.32635	4.29217
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	34	27938	28021	83			0.44239	0.33236	4.32751
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	35	28105	28188	83			0.53774	0.32768	4.31793
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	36	28271	31452	3181			0.69635	0.34692	4.49576
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	37	31469	31585	117			0.64433	0.40468	4.75946
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	38	31802	31885	83			0.46306	0.55617	4.74378
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	39	31935	32152	217			0.35122	0.63682	kwi.21
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	40	32168	32385	217			0.31086	0.68544	4.65826
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	41	32501	32585	83			0.29612	0.75462	4.59314
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	42	32635	35183	2548			0.30208	0.69033	4.74976
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	43	35666	36982	1316			0.6901	0.69823	4.77771
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	44	37181	37248	67			0.65178	0.80969	4.58247
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	45	37265	38747	1482			0.69086	0.70634	5.02022
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	46	38797	38963	167			0.54312	0.62481	5.08802
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	47	38997	39713	716			0.49991	0.46153	4.96762
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	48	39763	39846	83			0.31617	0.33934	4.82739
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	49	39896	40346	450			0.24354	0.16487	4.78609
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	50	40396	40612	217			0.23482	0.02089	4.72781
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	51	40662	40879	217			0.1921	-0.01452	4.76134
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	52	41129	41195	67			0.23621	0.4006	4.72966
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	53	41228	41512	283			0.46923	0.45118	4.78886
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Partial	54	41612	41678	67			-0.0063	0.34524	4.90923
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	55	43910	44876	966			0.48395	0.41142	4.59451
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	56	44926	45076	150			0.29924	0.19733	5.02765
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	57	45142	45492	350			0.47833	0.31457	5.22331
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	58	45559	45908	350			0.64888	0.50637	5.37759
u01-1	u01	nie	nie	nie	nie dotyczy	M	24-29	wyższe	5	0	Timeline1	Entire Recording	1		Fixation	Whole	59	45958	46308	350			0.51282	0.41942	5.38919
